#KSP	path_length path
172	4.0 ITGB3|TGFBR2|SMAD7|ITCH|KLF10
173	5.0 SDC2|TGFB1|TGFBR1|SMAD7|ITCH|KLF10
174	3.0 TGFBR1|SMAD7|ITCH|KLF10
175	3.0 TGFBR2|SMAD7|ITCH|KLF10
176	3.0 ITGB1|TGFBR2|SMAD2|LEF1
177	3.0 ITGB3|TGFBR2|SMAD2|LEF1
178	4.0 SDC2|TGFB1|TGFBR2|CTNNB1|LEF1
179	2.0 TGFBR1|SMAD7|LEF1
180	2.0 TGFBR2|SMAD2|LEF1
181	3.0 ITGB1|TGFBR2|SMAD2|MEF2A
182	3.0 ITGB3|TGFBR2|SMAD2|MEF2A
183	4.0 SDC2|TGFB1|TGFBR1|SMAD2|MEF2A
184	2.0 TGFBR1|SMAD2|MEF2A
185	2.0 TGFBR2|SMAD2|MEF2A
186	3.0 ITGB1|TGFBR2|SMAD2|MEF2C
187	3.0 ITGB3|TGFBR2|SMAD2|MEF2C
188	4.0 SDC2|TGFB1|TGFBR1|SMAD2|MEF2C
189	2.0 TGFBR1|SMAD2|MEF2C
190	2.0 TGFBR2|SMAD2|MEF2C
191	3.0 ITGB1|TGFBR2|SMAD2|MYC
192	3.0 ITGB3|TGFBR2|SMAD2|MYC
193	4.0 SDC2|TGFB1|TGFBR1|SMAD3|MYC
194	2.0 TGFBR1|SMAD3|MYC
195	2.0 TGFBR2|SMAD2|MYC
196	4.0 ITGB1|TGFBR2|SMAD2|EP300|NCOA1
197	4.0 ITGB3|TGFBR2|SMAD2|EP300|NCOA1
198	5.0 SDC2|TGFB1|TGFBR1|SMAD7|EP300|NCOA1
199	3.0 TGFBR1|SMAD7|EP300|NCOA1
200	3.0 TGFBR2|SMAD2|EP300|NCOA1
201	4.0 ITGB1|TGFBR2|SMAD2|NFYC|NFYA
202	4.0 ITGB3|TGFBR2|SMAD2|NFYC|NFYA
203	5.0 SDC2|TGFB1|TGFBR1|SMAD3|NFYC|NFYA
204	3.0 TGFBR1|SMAD3|NFYC|NFYA
205	3.0 TGFBR2|SMAD2|NFYC|NFYA
206	4.0 ITGB1|TGFBR2|SMAD2|NFYC|NFYB
207	4.0 ITGB3|TGFBR2|SMAD2|NFYC|NFYB
208	5.0 SDC2|TGFB1|TGFBR1|SMAD3|NFYC|NFYB
209	3.0 TGFBR1|SMAD3|NFYC|NFYB
210	3.0 TGFBR2|SMAD2|NFYC|NFYB
211	3.0 ITGB1|TGFBR2|SMAD2|NFYC
212	3.0 ITGB3|TGFBR2|SMAD2|NFYC
213	4.0 SDC2|TGFB1|TGFBR1|SMAD3|NFYC
214	2.0 TGFBR1|SMAD3|NFYC
215	2.0 TGFBR2|SMAD2|NFYC
216	4.0 ITGB1|TGFBR2|SMAD2|SMAD4|OLIG1
217	4.0 ITGB3|TGFBR2|SMAD2|SMAD4|OLIG1
218	4.0 SDC2|TGFB1|TGFBR1|SMAD3|OLIG1
219	2.0 TGFBR1|SMAD3|OLIG1
220	3.0 TGFBR2|STRAP|SMAD3|OLIG1
221	3.0 ITGB1|TGFBR2|SMAD2|PML
222	3.0 ITGB3|TGFBR2|SMAD2|PML
223	4.0 SDC2|TGFB1|TGFBR1|ZFYVE9|PML
224	2.0 TGFBR1|ZFYVE9|PML
225	2.0 TGFBR2|SMAD2|PML
226	3.0 ITGB1|TGFBR2|POLD1|RB1
227	3.0 ITGB3|TGFBR2|POLD1|RB1
228	4.0 SDC2|TGFB1|TGFBR2|POLD1|RB1
229	3.0 TGFBR1|TGFBR2|POLD1|RB1
230	2.0 TGFBR2|POLD1|RB1
231	4.0 ITGB1|TGFBR2|SMAD2|SMAD4|RBL1
232	4.0 ITGB3|TGFBR2|SMAD2|SMAD4|RBL1
233	4.0 SDC2|TGFB1|TGFBR1|SMAD3|RBL1
234	2.0 TGFBR1|SMAD3|RBL1
235	3.0 TGFBR2|STRAP|SMAD3|RBL1
236	4.0 ITGB1|TGFBR2|SMAD2|HDAC1|RBL2
237	4.0 ITGB3|TGFBR2|SMAD2|HDAC1|RBL2
238	5.0 SDC2|TGFB1|TGFBR1|SMAD3|E2F4|RBL2
239	3.0 TGFBR1|SMAD2|HDAC1|RBL2
240	3.0 TGFBR2|SMAD2|HDAC1|RBL2
241	4.0 ITGB1|TGFBR2|STRAP|SMAD3|RUNX1
242	4.0 ITGB3|TGFBR2|DAB2|SMAD3|RUNX1
243	4.0 SDC2|TGFB1|TGFBR1|SMAD3|RUNX1
244	2.0 TGFBR1|SMAD3|RUNX1
245	3.0 TGFBR2|STRAP|SMAD3|RUNX1
246	3.0 ITGB1|TGFBR2|SMAD2|RUNX2
247	3.0 ITGB3|TGFBR2|SMAD2|RUNX2
248	4.0 SDC2|TGFB1|TGFBR1|SMAD3|RUNX2
249	2
